,utt_id,path,text,text_enhanced,spkid,start_s,end_s,problems,duration,label
12331,A1048020236#7283#9005548539933098,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005548539933098.wav,NHẠC CHUÔNG AI PHONE,NHẠC CHUÔNG IPHONE,110622,1.4274767775229358,2.580482798165137,,4.42975,speech
12328,A1048020236#7283#9005548540118744,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005548540118744.wav,GIÁ VÀNG HÔM NAY BAO NHIÊU,GIÁ VÀNG HÔM NAY BAO NHIÊU,110622,1.903903526376148,3.2973815940366977,,4.079125,speech
12093,A1048020236#7283#9005548540191819,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005548540191819.wav,HÁT BÀI MỘT CON VỊT,HÁT BÀI MỘT CON VỊT,110622,3.5014993752603085,4.495922532278218,,6.444375,speech
12481,A1048020236#7283#9005548547364915,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005548547364915.wav,NGỦ THÔI,NGỦ THÔI,110622,1.5077504638218924,2.7269805194805183,,4.7525,speech
12088,A1048020236#7283#9005548579570209,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005548579570209.wav,NGỦ THÔI,NGỦ THÔI,110622,1.104144948022499,1.8928706473312884,,3.6965,speech
12100,A1048020236#7283#9005548621988981,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005548621988981.wav,NGỦ THÔI,NGỦ THÔI,110622,1.293665518155314,2.2003962668610257,,3.9845,speech
12486,A1048020236#7283#9005548626192698,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005548626192698.wav,NGỦ THÔI,NGỦ THÔI,110622,0.989277133580705,2.399623840445269,,4.335125,speech
12324,A1048020236#7283#9005548632355881,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005548632355881.wav,GIẢM ÂM LƯỢNG,GIẢM ÂM LƯỢNG,110622,1.290377325225927,2.608553307839838,,4.175125,speech
12094,A1048020236#7283#9005548632534699,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005548632534699.wav,ĐI VỀ RỒI NÀY,ĐI VỀ RỒI NÀY,110622,1.7476882527902935,3.546585758254343,,4.78175,speech
12098,A1048020236#7283#9005549059778891,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549059778891.wav,NGỦ THÔI,NGỦ THÔI,110622,1.5584085755514328,2.265895543362473,,3.1205,speech
12086,A1048020236#7283#9005549070540897,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549070540897.wav,HÁT BÀI CON LỢN ÉC,HÁT BÀI CON LỢN ÉC,110622,1.5838494903217937,3.333032316833917,,3.8885,speech
12487,A1048020236#7283#9005549090838529,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549090838529.wav,HÁT BÀI GIA ĐÌNH NHỎ HẠNH PHÚC TO,HÁT BÀI GIA ĐÌNH NHỎ HẠNH PHÚC TO,110622,1.5736502782931354,3.3292527185482714,,5.33125,speech
12096,A1048020236#7283#9005549090848884,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549090848884.wav,ÂM LƯỢNG TÁM,ÂM LƯỢNG 8,110622,1.5582761812207873,2.755735404860769,,4.433875,speech
12338,A1048020236#7283#9005549094631695,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549094631695.wav,GIÁ VÀNG HÔM NAY BAO NHIÊU,GIÁ VÀNG HÔM NAY BAO NHIÊU,110622,1.4192700688073394,2.758441657110092,,4.911125,speech
12083,A1048020236#7283#9005549094740026,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549094740026.wav,ANH BI SÚN LÀ AI?,ANH BI SÚN LÀ AI?,110622,1.3771143336741003,2.696781517801926,,5.70975,speech
12332,A1048020236#7283#9005549146029576,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549146029576.wav,NGỦ THÔI,NGỦ THÔI,110622,1.5143338589449542,2.573335804742425,,4.207125,speech
12084,A1048020236#7283#9005549146316141,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549146316141.wav,NGỦ THÔI,NGỦ THÔI,110622,1.6865891797010124,2.4624784766690246,,4.172375,speech
12483,A1048020236#7283#9005549155916966,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549155916966.wav,NGỦ THÔI,NGỦ THÔI,110622,1.170344387755102,2.203836966604824,,3.823125,speech
12099,A1048020236#7283#9005549169471593,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549169471593.wav,NGỦ THÔI,NGỦ THÔI,110622,1.2728722459917794,2.140155342161993,,3.5365,speech
12091,A1048020236#7283#9005549259107831,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549259107831.wav,NGỦ THÔI,NGỦ THÔI,110622,2.11,2.9209371450876307,,4.68575,speech
12082,A1048020236#7283#9005549432279346,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549432279346.wav,GIÁ VÀNG HÔM NAY BAO NHIÊU,GIÁ VÀNG HÔM NAY BAO NHIÊU,110622,1.652104131695968,3.446454370204223,,4.0805,speech
12090,A1048020236#7283#9005549574657976,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549574657976.wav,ANH BI CÓ ĐẸP TRAI KHÔNG,ANH BI CÓ ĐẸP TRAI KHÔNG,110622,1.848476771042369,3.529024800225955,,4.369875,speech
12484,A1048020236#7283#9005549583227759,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549583227759.wav,NGỦ THÔI,NGỦ THÔI,110622,2.219779220779221,3.2371006493506496,,5.06975,speech
12490,A1048020236#7283#9005549584190238,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549584190238.wav,NGỦ THÔI,NGỦ THÔI,110622,2.115966604823748,3.051933209647496,,4.1765,speech
12435,A1048020236#7283#9005549603339847,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549603339847.wav,NGỦ THÔI,NGỦ THÔI,110622,1.351699670591799,2.579668920796588,,3.695125,speech
12097,A1048020236#7283#9005549604630384,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549604630384.wav,GIẢM ÂM LƯỢNG,GIẢM ÂM LƯỢNG,110622,0.9300474970445816,2.1966931304438417,,3.916375,speech
12347,A1048020236#7283#9005549608167238,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549608167238.wav,HÁT BÀI GIA ĐÌNH NHỎ HẠNH PHÚC TO,HÁT BÀI GIA ĐÌNH NHỎ HẠNH PHÚC TO,110622,1.3400678589308326,3.489977997383245,,4.175125,speech
12482,A1048020236#7283#9005549608225465,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549608225465.wav,HÁT BÀI,HÁT BÀI,110622,1.706582792207792,2.754311688311688,,3.471125,speech
12092,A1048020236#7283#9005549608331365,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549608331365.wav,HÁT BÀI GIA ĐÌNH NHỎ HẠNH PHÚC TO,HÁT BÀI GIA ĐÌNH NHỎ HẠNH PHÚC TO,110622,1.7168935923163329,4.288675804273471,,5.169875,speech
12491,A1048020236#7283#9005549608342604,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549608342604.wav,HÁT BÀI,HÁT BÀI,110622,1.699918367346939,2.9049981447124305,,5.206,speech
12348,A1048020236#7283#9005549614513674,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549614513674.wav,HÁT BÀI ĐÀN GÀ TRONG SÂN,HÁT BÀI ĐÀN GÀ TRONG SÂN,110622,1.5716432126344662,3.292980407994985,,5.103125,speech
12326,A1048020236#7283#9005549658301982,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549658301982.wav,TĂNG ÂM LƯỢNG,TĂNG ÂM LƯỢNG,110622,1.1420745412844036,2.029329701834862,,2.86175,speech
12341,A1048020236#7283#9005549663621696,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549663621696.wav,HÁT BÀI GIA ĐÌNH NHỎ HẠNH PHÚC TO,HÁT BÀI GIA ĐÌNH NHỎ HẠNH PHÚC TO,110622,1.4019208715596332,3.4283113532110097,,5.7125,speech
12095,A1048020236#7283#9005549663913623,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549663913623.wav,MAIKA CÓ ĂN CƠM KHÔNG,MAIKA CÓ ĂN CƠM KHÔNG,110622,0.7810508247826031,2.530732144434768,,4.209875,speech
12325,A1048020236#7283#9005549672762136,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549672762136.wav,HÁT BÀI MỘT NHÀ ,HÁT BÀI MỘT NHÀ ,110622,1.479877866972477,2.813097620577046,,4.815125,speech
12334,A1048020236#7283#9005549672884705,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549672884705.wav,HÁT BÀI GIA ĐÌNH NHỎ HẠNH PHÚC TO,HÁT BÀI GIA ĐÌNH NHỎ HẠNH PHÚC TO,110622,1.44430246559633,3.94278220527523,,5.935125,speech
12336,A1048020236#7283#9005549691266919,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549691266919.wav,HÁT BÀI BABY SHARK,HÁT BÀI BABY SHARK,110622,2.774119839449541,4.242640481651377,,6.0325,speech
12485,A1048020236#7283#9005549830745705,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549830745705.wav,ANH BI CÓ TRẮNG KHÔNG,ANH BI CÓ TRẮNG KHÔNG,110622,1.4952690166975882,2.708534322820037,,3.73125,speech
12330,A1048020236#7283#9005549835753180,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005549835753180.wav,NGỦ THÔI,NGỦ THÔI,110622,2.5150467316513767,2.520788847477065,,5.007125,speech
10372,A1048028374#10644#9005549583791403,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048028374#10644#9005549583791403.wav,MỞ TIẾNG CON NAI,MỞ TIẾNG CON NAI,110622,1.2148133251060784,2.7751758321843107,,3.695125,speech
10376,A1048028374#10644#9005550348847683,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048028374#10644#9005550348847683.wav,TIẾNG SÚNG,TIẾNG SÚNG,110622,1.2472154550510013,2.1891768174234976,,3.702,speech
10373,A1048028374#10644#9005550349125836,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048028374#10644#9005550349125836.wav,LÀM THẾ NÀO ĐỂ CÓ NGƯỜI YÊU,LÀM THẾ NÀO ĐỂ CÓ NGƯỜI YÊU,110622,1.2651216186362562,3.1740066478252373,,4.5925,speech
10374,A1048028374#10644#9005550364469792,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048028374#10644#9005550364469792.wav,THỜI TIẾT NGÀY MAI Ở HÀ NAM THẾ NÀO,THỜI TIẾT NGÀY MAI Ở HÀ NAM THẾ NÀO,110622,1.623797944709799,4.423137707490605,,5.039125,speech
10371,A1048028374#10644#9005550464059111,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048028374#10644#9005550464059111.wav,MỘT TỶ NHÂN MỘT TỶ BẰNG BAO NHIÊU,1 TỶ NHÂN 1 TỶ BẰNG BAO NHIÊU,110622,1.409814074192573,2.955069258759868,,4.143125,speech
1311,A1048028374#20555#9005547931599757,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048028374#20555#9005547931599757.wav,KỂ CHUYỆN CỔ TÍCH,KỂ CHUYỆN CỔ TÍCH,110622,1.26548842176259,2.960703799460432,,4.937625,speech
1309,A1048028374#20555#9005548560171656,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048028374#20555#9005548560171656.wav,MỞ BÀI HÁT ROAI HEN,MỞ BÀI HÁT RIGHT HAND,110622,1.2696791816546762,3.434492131294963,,4.489625,speech
1310,A1048028374#20555#9005548566481817,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048028374#20555#9005548566481817.wav,XEM TỬ VI,XEM TỬ VI,110622,1.0666438848920865,2.106684464928058,,3.369625,speech
1316,A1048028374#20555#9005548566575631,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048028374#20555#9005548566575631.wav,XEM TỬ VI,XEM TỬ VI,110622,1.05,2.2292532598920864,,3.209625,speech
1308,A1048028374#20555#9005548566617620,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048028374#20555#9005548566617620.wav,XEM TỬ VI,XEM TỬ VI,110622,1.163378597122302,2.3723572392086343,,4.20025,speech
1315,A1048028374#20555#9005548566735018,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048028374#20555#9005548566735018.wav,TIẾNG ME ME,TIẾNG ME ME,110622,1.3158628597122302,2.4527843974820143,,3.433625,speech
1317,A1048028374#20555#9005548568070089,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048028374#20555#9005548568070089.wav,KỂ CHUYỆN CƯỜI,KỂ CHUYỆN CƯỜI,110622,1.5,2.669411196043166,,4.559125,speech
1314,A1048028374#20555#9005548570441422,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048028374#20555#9005548570441422.wav,KỂ CHUYỆN CÔNG CHÚA BẠCH TUYẾT VÀ BẢY CHÚ LÙN,KỂ CHUYỆN CÔNG CHÚA BẠCH TUYẾT VÀ BẢY CHÚ LÙN,110622,1.27,4.964669227835296,,5.60825,speech
1313,A1048028374#20555#9005548571522887,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048028374#20555#9005548571522887.wav,KỂ CHUYỆN CỔ TÍCH,KỂ CHUYỆN CỔ TÍCH,110622,1.3558093525179855,3.353098021582733,,4.235,speech
1312,A1048028374#20555#9005548612115679,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048028374#20555#9005548612115679.wav,TĂNG ÂM LƯỢNG,TĂNG ÂM LƯỢNG,110622,2.0693811825539568,2.7702866456834525,,4.585625,speech
249,A1048036486#20896#9005547903377149,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048036486#20896#9005547903377149.wav,BÂY GIỜ LÀ MẤY GIỜ,BÂY GIỜ LÀ MẤY GIỜ,110622,1.2171538461538465,2.352801638176638,,3.20825,speech
245,A1048036486#20896#9005547925212409,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048036486#20896#9005547925212409.wav,CON ĐIÊN,CON ĐIÊN,110622,3.793199430199429,4.279956552706556,,6.28025,speech
252,A1048036486#20896#9005548632197037,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048036486#20896#9005548632197037.wav,BÂY GIỜ LÀ MẤY GIỜ RỒI,BÂY GIỜ LÀ MẤY GIỜ RỒI,110622,1.2617368233618236,2.693010837542088,,4.64825,speech
257,A1048036486#20896#9005548704396601,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048036486#20896#9005548704396601.wav,DỰ BÁO THỜI TIẾT NGÀY MAI Ở QUỲNH THIỆN,DỰ BÁO THỜI TIẾT NGÀY MAI Ở QUỲNH THIỆN,110622,2.27921766425304,5.533043354478907,,6.409625,speech
248,A1048036486#20896#9005548704573724,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048036486#20896#9005548704573724.wav,MỞ NHẠC,MỞ NHẠC,110622,1.8645128205128203,2.473502849002849,,3.403,speech
243,A1048036486#20896#9005548786034987,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048036486#20896#9005548786034987.wav,NGÀY MAI,NGÀY MAI,110622,3.095227564102564,4.076790041242525,,5.83225,speech
228,A1048036486#20896#9005548798066256,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048036486#20896#9005548798066256.wav,BẠN CÓ BIẾT TỔNG THỐNG PU TIN KHÔNG,BẠN CÓ BIẾT TỔNG THỐNG PUTIN KHÔNG,110622,1.5208716168091168,4.413645121082622,,5.257625,speech
229,A1048036486#20896#9005548798803763,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048036486#20896#9005548798803763.wav,BẠN THÍCH MÈO HƯ KHÔNG,BẠN THÍCH MÈO HƯ KHÔNG,110622,1.3040439814814817,2.6541599363812862,,3.561625,speech
231,A1048036486#20896#9005548799056989,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048036486#20896#9005548799056989.wav,BẠN ĐƯỢC SẢN XUẤT RA TỪ CÔNG TY NÀO,BẠN ĐƯỢC SẢN XUẤT RA TỪ CÔNG TY NÀO,110622,2.646282051282052,4.689230769230769,,5.355,speech
235,A1048036486#20896#9005548828860250,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048036486#20896#9005548828860250.wav,BA TRĂM CỘNG BỐN NGHÌN BẰNG MẤY,300 + 4000 BẰNG MẤY,110622,3.187371794871794,5.832540064102564,,7.145625,speech
